批次,游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,起始原始关卡标签,起始原始关卡序号,最高原始关卡标签,最高原始关卡序号,最终原始关卡标签,最终原始关卡序号,最长停留原始关卡标签,最长停留原始关卡序号,是否流失,首日到最终进度差
4.4-4.8,109080441,7~50,12.0,30.0,30.0,18,29.0,1.8125,,112.0,215.0,215.0,4,204.0,1-12,12.0,2-15,30.0,2-15,30.0,2-04,19.0,False,18.0
4.4-4.8,109080622,7~50,12.0,34.0,34.0,16,33.0,3.0,,112.0,304.0,304.0,2,205.0,1-12,12.0,3-04,34.0,3-04,34.0,2-05,20.0,False,22.0
4.4-4.8,109080915,1~7,9.0,12.0,12.0,2,12.0,6.0,12.0,109.0,112.0,112.0,1,109.0,1-09,9.0,1-12,12.0,1-12,12.0,1-09,9.0,True,3.0
4.4-4.8,109081181,1~7,12.0,13.0,13.0,6,13.0,3.25,13.0,112.0,113.0,113.0,3,113.0,1-12,12.0,1-13,13.0,1-13,13.0,1-13,13.0,True,1.0
4.4-4.8,109081275,1~7,11.0,39.0,39.0,10,39.0,3.9,,111.0,309.0,309.0,3,309.0,1-11,11.0,3-09,39.0,3-09,39.0,3-09,39.0,False,28.0
4.4-4.8,109081309,1~7,10.0,14.0,14.0,5,13.0,3.25,,110.0,114.0,114.0,2,113.0,1-10,10.0,1-14,14.0,1-14,14.0,1-13,13.0,False,4.0
4.4-4.8,109081375,1~7,12.0,13.0,13.0,3,13.0,4.333333333333333,13.0,112.0,113.0,113.0,2,113.0,1-12,12.0,1-13,13.0,1-13,13.0,1-13,13.0,True,1.0
4.4-4.8,109081381,7~50,12.0,19.0,19.0,9,19.0,2.7142857142857144,,112.0,204.0,204.0,5,204.0,1-12,12.0,2-04,19.0,2-04,19.0,2-04,19.0,False,7.0
4.4-4.8,109081390,7~50,19.0,77.0,77.0,21,77.0,3.6666666666666665,,204.0,602.0,602.0,3,509.0,2-04,19.0,6-02,77.0,6-02,77.0,5-09,69.0,False,58.0
4.4-4.8,109081617,1~7,12.0,13.0,13.0,3,13.0,4.333333333333333,13.0,112.0,113.0,113.0,2,112.0,1-12,12.0,1-13,13.0,1-13,13.0,1-12,12.0,True,1.0
4.4-4.8,109081629,50~100,22.0,22.0,22.0,2,22.0,11.0,22.0,207.0,207.0,207.0,2,207.0,2-07,22.0,2-07,22.0,2-07,22.0,2-07,22.0,True,0.0
4.4-4.8,109081636,1~7,12.0,34.0,34.0,18,34.0,2.0,,112.0,304.0,304.0,4,303.0,1-12,12.0,3-04,34.0,3-04,34.0,3-03,33.0,False,22.0
4.4-4.8,109081704,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109081740,7~50,19.0,39.0,39.0,8,39.0,5.571428571428571,34.0,204.0,309.0,309.0,2,309.0,2-04,19.0,3-09,39.0,3-09,39.0,3-09,39.0,True,20.0
4.4-4.8,109081805,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109081856,1~7,6.0,13.0,13.0,5,10.0,2.5,,106.0,113.0,113.0,2,113.0,1-06,6.0,1-13,13.0,1-13,13.0,1-13,13.0,False,7.0
4.4-4.8,109081871,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109081887,1~7,12.0,17.0,17.0,2,17.0,8.5,17.0,112.0,202.0,202.0,1,112.0,1-12,12.0,2-02,17.0,2-02,17.0,1-12,12.0,True,5.0
4.4-4.8,109081933,100~300,19.0,69.0,69.0,15,69.0,4.6,,204.0,509.0,509.0,3,409.0,2-04,19.0,5-09,69.0,5-09,69.0,4-09,54.0,False,50.0
4.4-4.8,109081976,1~7,12.0,13.0,13.0,2,13.0,6.5,13.0,112.0,113.0,113.0,1,112.0,1-12,12.0,1-13,13.0,1-13,13.0,1-12,12.0,True,1.0
4.4-4.8,109081978,100~300,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109081992,100~300,12.0,74.0,74.0,20,74.0,3.8947368421052633,,112.0,514.0,514.0,4,512.0,1-12,12.0,5-14,74.0,5-14,74.0,5-12,72.0,False,62.0
4.4-4.8,109082055,7~50,9.0,19.0,19.0,8,16.0,2.6666666666666665,,109.0,204.0,204.0,4,204.0,1-09,9.0,2-04,19.0,2-04,19.0,2-04,19.0,False,10.0
4.4-4.8,109082156,7~50,12.0,29.0,29.0,3,29.0,9.666666666666666,29.0,112.0,214.0,214.0,1,112.0,1-12,12.0,2-14,29.0,2-14,29.0,1-12,12.0,True,17.0
4.4-4.8,109082194,7~50,14.0,38.0,38.0,7,38.0,5.428571428571429,,114.0,308.0,308.0,1,114.0,1-14,14.0,3-08,38.0,3-08,38.0,1-14,14.0,False,24.0
4.4-4.8,109082334,7~50,10.0,10.0,10.0,2,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
4.4-4.8,109082439,1~7,7.0,24.0,24.0,10,22.0,2.75,,107.0,209.0,209.0,2,209.0,1-07,7.0,2-09,24.0,2-09,24.0,2-09,24.0,False,17.0
4.4-4.8,109082497,100~300,19.0,24.0,24.0,3,24.0,8.0,24.0,204.0,209.0,209.0,2,209.0,2-04,19.0,2-09,24.0,2-09,24.0,2-09,24.0,True,5.0
4.4-4.8,109082564,1~7,2.0,14.0,14.0,8,9.0,1.8,9.0,102.0,114.0,114.0,2,108.0,1-02,2.0,1-14,14.0,1-14,14.0,1-08,8.0,True,12.0
4.4-4.8,109082615,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109082708,7~50,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107.0,1-07,7.0,1-07,7.0,1-07,7.0,1-07,7.0,True,0.0
4.4-4.8,109082744,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109082788,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109082855,1~7,12.0,76.0,76.0,20,76.0,3.8,,112.0,601.0,601.0,6,511.0,1-12,12.0,6-01,76.0,6-01,76.0,5-11,71.0,False,64.0
4.4-4.8,109082866,7~50,12.0,19.0,19.0,4,19.0,6.333333333333333,19.0,112.0,204.0,204.0,2,204.0,1-12,12.0,2-04,19.0,2-04,19.0,2-04,19.0,True,7.0
4.4-4.8,109082985,7~50,6.0,7.0,7.0,2,7.0,3.5,7.0,106.0,107.0,107.0,1,106.0,1-06,6.0,1-07,7.0,1-07,7.0,1-06,6.0,True,1.0
4.4-4.8,109082989,1~7,6.0,12.0,12.0,3,9.0,4.5,12.0,106.0,112.0,112.0,1,106.0,1-06,6.0,1-12,12.0,1-12,12.0,1-06,6.0,True,6.0
4.4-4.8,109083035,7~50,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109083054,7~50,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109083129,100~300,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109083204,1~7,4.0,6.0,6.0,2,4.0,4.0,6.0,104.0,106.0,106.0,1,104.0,1-04,4.0,1-06,6.0,1-06,6.0,1-04,4.0,True,2.0
4.4-4.8,109083249,7~50,8.0,9.0,9.0,3,8.0,4.0,9.0,108.0,109.0,109.0,2,109.0,1-08,8.0,1-09,9.0,1-09,9.0,1-09,9.0,True,1.0
4.4-4.8,109083532,7~50,7.0,11.0,11.0,3,11.0,3.6666666666666665,11.0,107.0,111.0,111.0,1,107.0,1-07,7.0,1-11,11.0,1-11,11.0,1-07,7.0,True,4.0
4.4-4.8,109083662,7~50,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109083869,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109083872,1~7,6.0,10.0,10.0,12,10.0,1.25,10.0,106.0,110.0,110.0,4,110.0,1-06,6.0,1-10,10.0,1-10,10.0,1-10,10.0,True,4.0
4.4-4.8,109083919,1~7,9.0,14.0,14.0,3,9.0,9.0,12.0,109.0,114.0,114.0,1,109.0,1-09,9.0,1-14,14.0,1-14,14.0,1-09,9.0,True,5.0
4.4-4.8,109083984,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109084019,1~7,6.0,12.0,12.0,5,12.0,3.0,,106.0,112.0,112.0,3,112.0,1-06,6.0,1-12,12.0,1-12,12.0,1-12,12.0,False,6.0
4.4-4.8,109084021,7~50,10.0,19.0,19.0,2,19.0,9.5,19.0,110.0,204.0,204.0,1,110.0,1-10,10.0,2-04,19.0,2-04,19.0,1-10,10.0,True,9.0
4.4-4.8,109084220,100~300,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109084312,1~7,,,,0,0.0,,-15.0,,,,0,,,,,,,,,,True,
4.4-4.8,109084445,1~7,2.0,4.0,4.0,6,4.0,0.6666666666666666,,102.0,104.0,104.0,5,104.0,1-02,2.0,1-04,4.0,1-04,4.0,1-04,4.0,False,2.0
4.4-4.8,109084544,1~7,10.0,12.0,12.0,2,12.0,6.0,12.0,110.0,112.0,112.0,1,110.0,1-10,10.0,1-12,12.0,1-12,12.0,1-10,10.0,True,2.0
4.4-4.8,109084545,1~7,12.0,19.0,19.0,4,19.0,4.75,19.0,112.0,204.0,204.0,2,112.0,1-12,12.0,2-04,19.0,2-04,19.0,1-12,12.0,True,7.0
4.4-4.8,109084575,1~7,12.0,39.0,39.0,18,39.0,2.1666666666666665,,112.0,309.0,309.0,5,303.0,1-12,12.0,3-09,39.0,3-09,39.0,3-03,33.0,False,27.0
4.4-4.8,109084760,1~7,12.0,41.0,41.0,18,41.0,2.2777777777777777,,112.0,311.0,311.0,6,310.0,1-12,12.0,3-11,41.0,3-11,41.0,3-10,40.0,False,29.0
4.4-4.8,109084873,7~50,12.0,14.0,14.0,3,14.0,7.0,14.0,112.0,114.0,114.0,1,112.0,1-12,12.0,1-14,14.0,1-14,14.0,1-12,12.0,True,2.0
4.4-4.8,109084977,1~7,3.0,4.0,4.0,2,4.0,2.0,4.0,103.0,104.0,104.0,1,103.0,1-03,3.0,1-04,4.0,1-04,4.0,1-03,3.0,True,1.0
4.4-4.8,109084985,7~50,14.0,49.0,49.0,10,49.0,4.9,,114.0,404.0,404.0,2,209.0,1-14,14.0,4-04,49.0,4-04,49.0,2-09,24.0,False,35.0
4.4-4.8,109084990,7~50,14.0,18.0,18.0,3,18.0,9.0,18.0,114.0,203.0,203.0,1,114.0,1-14,14.0,2-03,18.0,2-03,18.0,1-14,14.0,True,4.0
4.4-4.8,109085120,1~7,9.0,11.0,11.0,3,11.0,3.6666666666666665,11.0,109.0,111.0,111.0,1,109.0,1-09,9.0,1-11,11.0,1-11,11.0,1-09,9.0,True,2.0
4.4-4.8,109085312,1~7,11.0,11.0,11.0,1,11.0,11.0,11.0,111.0,111.0,111.0,1,111.0,1-11,11.0,1-11,11.0,1-11,11.0,1-11,11.0,True,0.0
4.4-4.8,109085346,1~7,10.0,24.0,24.0,17,23.0,1.6428571428571428,,110.0,209.0,209.0,3,209.0,1-10,10.0,2-09,24.0,2-09,24.0,2-09,24.0,False,14.0
4.4-4.8,109085535,7~50,12.0,19.0,19.0,5,19.0,3.8,19.0,112.0,204.0,204.0,4,204.0,1-12,12.0,2-04,19.0,2-04,19.0,2-04,19.0,True,7.0
4.4-4.8,109085553,7~50,13.0,71.0,71.0,20,71.0,3.55,,113.0,511.0,511.0,3,502.0,1-13,13.0,5-11,71.0,5-11,71.0,5-02,62.0,False,58.0
4.4-4.8,109085554,1~7,17.0,39.0,39.0,10,39.0,3.9,,202.0,309.0,309.0,4,309.0,2-02,17.0,3-09,39.0,3-09,39.0,3-09,39.0,False,22.0
4.4-4.8,109085704,7~50,11.0,21.0,21.0,9,21.0,2.3333333333333335,,111.0,206.0,206.0,3,115.0,1-11,11.0,2-06,21.0,2-06,21.0,1-15,15.0,False,10.0
4.4-4.8,109085781,1~7,12.0,12.0,12.0,3,12.0,6.0,12.0,112.0,112.0,112.0,2,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109085825,1~7,6.0,12.0,12.0,3,12.0,6.0,12.0,106.0,112.0,112.0,1,106.0,1-06,6.0,1-12,12.0,1-12,12.0,1-06,6.0,True,6.0
4.4-4.8,109085849,7~50,12.0,53.0,53.0,20,53.0,2.65,,112.0,408.0,408.0,3,305.0,1-12,12.0,4-08,53.0,4-08,53.0,3-05,35.0,False,41.0
4.4-4.8,109086121,7~50,11.0,11.0,11.0,2,11.0,5.5,11.0,111.0,111.0,111.0,2,111.0,1-11,11.0,1-11,11.0,1-11,11.0,1-11,11.0,True,0.0
4.4-4.8,109086246,7~50,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109086304,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109086430,1~7,9.0,30.0,30.0,18,28.0,1.6470588235294117,,109.0,215.0,215.0,5,214.0,1-09,9.0,2-15,30.0,2-15,30.0,2-14,29.0,False,21.0
4.4-4.8,109086504,1~7,5.0,7.0,7.0,3,6.0,3.0,7.0,105.0,107.0,107.0,1,105.0,1-05,5.0,1-07,7.0,1-07,7.0,1-05,5.0,True,2.0
4.4-4.8,109086931,1~7,6.0,20.0,20.0,9,20.0,2.5,,106.0,205.0,205.0,3,205.0,1-06,6.0,2-05,20.0,2-05,20.0,2-05,20.0,False,14.0
4.4-4.8,109086943,1~7,4.0,14.0,14.0,5,4.0,4.0,,104.0,114.0,114.0,1,104.0,1-04,4.0,1-14,14.0,1-14,14.0,1-04,4.0,False,10.0
4.4-4.8,109087040,1~7,7.0,14.0,14.0,5,12.0,3.0,12.0,107.0,114.0,114.0,2,110.0,1-07,7.0,1-14,14.0,1-14,14.0,1-10,10.0,True,7.0
4.4-4.8,109087117,100~300,5.0,30.0,30.0,15,22.0,2.2,,105.0,215.0,215.0,3,115.0,1-05,5.0,2-15,30.0,2-15,30.0,1-15,15.0,False,25.0
4.4-4.8,109087137,7~50,,39.0,39.0,10,16.0,1.7777777777777777,,208.0,309.0,309.0,2,209.0,2-08,23.0,3-09,39.0,3-09,39.0,2-09,24.0,False,
4.4-4.8,109087147,1~7,8.0,12.0,12.0,2,12.0,6.0,12.0,108.0,112.0,112.0,1,108.0,1-08,8.0,1-12,12.0,1-12,12.0,1-08,8.0,True,4.0
4.4-4.8,109087337,1~7,,13.0,13.0,3,0.0,0.0,,113.0,113.0,113.0,2,113.0,1-13,13.0,1-13,13.0,1-13,13.0,1-13,13.0,False,
4.4-4.8,109087479,1~7,2.0,13.0,13.0,3,13.0,4.333333333333333,13.0,102.0,113.0,113.0,2,113.0,1-02,2.0,1-13,13.0,1-13,13.0,1-13,13.0,True,11.0
4.4-4.8,109088123,7~50,19.0,54.0,54.0,19,54.0,2.8421052631578947,,204.0,409.0,409.0,7,409.0,2-04,19.0,4-09,54.0,4-09,54.0,4-09,54.0,False,35.0
4.4-4.8,109088308,100~300,18.0,54.0,54.0,8,54.0,6.75,,203.0,409.0,409.0,3,409.0,2-03,18.0,4-09,54.0,4-09,54.0,4-09,54.0,False,36.0
4.4-4.8,109089424,7~50,7.0,30.0,30.0,13,30.0,2.5,,107.0,215.0,215.0,4,215.0,1-07,7.0,2-15,30.0,2-15,30.0,2-15,30.0,False,23.0
4.4-4.8,109093981,100~300,22.0,87.0,87.0,12,87.0,7.25,,207.0,612.0,612.0,3,601.0,2-07,22.0,6-12,87.0,6-12,87.0,6-01,76.0,False,65.0
4.4-4.8,109099253,7~50,15.0,31.0,31.0,5,31.0,6.2,31.0,115.0,301.0,301.0,3,301.0,1-15,15.0,3-01,31.0,3-01,31.0,3-01,31.0,True,16.0
4.4-4.8,109101221,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
1.13-1.15,108963161,50~100,10.0,51.0,51.0,23,47.0,2.1363636363636362,,110.0,406.0,406.0,3,204.0,1-10,10.0,4-06,51.0,4-06,51.0,2-04,19.0,False,41.0
1.13-1.15,108963268,7~50,7.0,32.0,32.0,15,29.0,2.230769230769231,15.0,107.0,302.0,302.0,3,209.0,1-07,7.0,3-02,32.0,3-02,32.0,2-09,24.0,True,25.0
1.13-1.15,108963314,1~7,12.0,79.0,79.0,24,79.0,3.2916666666666665,,112.0,604.0,604.0,3,414.0,1-12,12.0,6-04,79.0,6-04,79.0,4-14,59.0,False,67.0
1.13-1.15,108963591,50~100,8.0,20.0,20.0,5,20.0,4.0,20.0,108.0,205.0,205.0,2,205.0,1-08,8.0,2-05,20.0,2-05,20.0,2-05,20.0,True,12.0
1.13-1.15,108963593,1~7,10.0,37.0,37.0,24,37.0,1.5416666666666667,,110.0,307.0,307.0,4,204.0,1-10,10.0,3-07,37.0,3-07,37.0,2-04,19.0,False,27.0
1.13-1.15,108963703,7~50,19.0,44.0,44.0,8,44.0,5.5,,204.0,314.0,314.0,2,314.0,2-04,19.0,3-14,44.0,3-14,44.0,3-14,44.0,False,25.0
1.13-1.15,108963705,1~7,9.0,81.0,81.0,24,81.0,3.375,,109.0,606.0,606.0,4,509.0,1-09,9.0,6-06,81.0,6-06,81.0,5-09,69.0,False,72.0
1.13-1.15,108963720,50~100,9.0,15.0,15.0,6,15.0,2.5,,109.0,115.0,115.0,2,111.0,1-09,9.0,1-15,15.0,1-15,15.0,1-11,11.0,False,6.0
1.13-1.15,108964042,1~7,6.0,10.0,10.0,3,10.0,3.3333333333333335,10.0,106.0,110.0,110.0,1,106.0,1-06,6.0,1-10,10.0,1-10,10.0,1-06,6.0,True,4.0
1.13-1.15,108964503,1~7,10.0,16.0,16.0,11,16.0,1.4545454545454546,,110.0,201.0,201.0,3,115.0,1-10,10.0,2-01,16.0,2-01,16.0,1-15,15.0,False,6.0
1.13-1.15,108964551,1~7,2.0,3.0,3.0,2,3.0,1.5,3.0,102.0,103.0,103.0,1,102.0,1-02,2.0,1-03,3.0,1-03,3.0,1-02,2.0,True,1.0
1.13-1.15,108964576,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.13-1.15,108964627,1~7,6.0,7.0,7.0,2,6.0,6.0,7.0,106.0,107.0,107.0,1,106.0,1-06,6.0,1-07,7.0,1-07,7.0,1-06,6.0,True,1.0
1.13-1.15,108964657,1~7,12.0,12.0,12.0,2,12.0,6.0,12.0,112.0,112.0,112.0,2,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
1.13-1.15,108964722,1~7,9.0,15.0,15.0,3,15.0,5.0,15.0,109.0,115.0,115.0,1,109.0,1-09,9.0,1-15,15.0,1-15,15.0,1-09,9.0,True,6.0
1.13-1.15,108964788,1~7,2.0,2.0,2.0,2,2.0,2.0,2.0,102.0,102.0,102.0,1,102.0,1-02,2.0,1-02,2.0,1-02,2.0,1-02,2.0,True,0.0
1.13-1.15,108964861,7~50,9.0,13.0,13.0,4,12.0,4.0,13.0,109.0,113.0,113.0,2,113.0,1-09,9.0,1-13,13.0,1-13,13.0,1-13,13.0,True,4.0
1.13-1.15,108964988,1~7,7.0,13.0,13.0,3,13.0,4.333333333333333,13.0,107.0,113.0,113.0,1,107.0,1-07,7.0,1-13,13.0,1-13,13.0,1-07,7.0,True,6.0
1.13-1.15,108964996,1~7,9.0,16.0,16.0,21,15.0,0.75,,109.0,201.0,201.0,13,115.0,1-09,9.0,2-01,16.0,2-01,16.0,1-15,15.0,False,7.0
1.13-1.15,108965004,7~50,12.0,39.0,39.0,7,39.0,6.5,,112.0,309.0,309.0,2,302.0,1-12,12.0,3-09,39.0,3-09,39.0,3-02,32.0,False,27.0
1.13-1.15,108965066,7~50,6.0,19.0,19.0,8,16.0,3.2,15.0,106.0,204.0,204.0,1,106.0,1-06,6.0,2-04,19.0,2-04,19.0,1-06,6.0,True,13.0
1.13-1.15,108965114,1~7,6.0,6.0,6.0,2,6.0,3.0,6.0,106.0,106.0,106.0,2,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.13-1.15,108965174,7~50,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
1.13-1.15,108965190,1~7,6.0,12.0,12.0,7,8.0,2.6666666666666665,8.0,106.0,112.0,112.0,2,108.0,1-06,6.0,1-12,12.0,1-12,12.0,1-08,8.0,True,6.0
1.13-1.15,108965211,7~50,1.0,1.0,1.0,1,1.0,1.0,1.0,101.0,101.0,101.0,1,101.0,1-01,1.0,1-01,1.0,1-01,1.0,1-01,1.0,True,0.0
1.13-1.15,108965538,1~7,3.0,34.0,34.0,12,34.0,3.090909090909091,,103.0,304.0,304.0,4,304.0,1-03,3.0,3-04,34.0,3-04,34.0,3-04,34.0,False,31.0
1.13-1.15,108965543,100~300,13.0,15.0,15.0,2,15.0,7.5,15.0,113.0,115.0,115.0,1,113.0,1-13,13.0,1-15,15.0,1-15,15.0,1-13,13.0,True,2.0
1.13-1.15,108965600,1~7,7.0,78.0,78.0,24,78.0,3.25,,107.0,603.0,603.0,3,514.0,1-07,7.0,6-03,78.0,6-03,78.0,5-14,74.0,False,71.0
1.13-1.15,108965664,7~50,12.0,102.0,102.0,24,102.0,4.25,,112.0,712.0,712.0,4,707.0,1-12,12.0,7-12,102.0,7-12,102.0,7-07,97.0,False,90.0
1.13-1.15,108965928,1~7,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107.0,1-07,7.0,1-07,7.0,1-07,7.0,1-07,7.0,True,0.0
1.13-1.15,108966093,1~7,3.0,10.0,10.0,3,10.0,3.3333333333333335,10.0,103.0,110.0,110.0,2,110.0,1-03,3.0,1-10,10.0,1-10,10.0,1-10,10.0,True,7.0
1.13-1.15,108966177,7~50,6.0,9.0,9.0,2,9.0,4.5,9.0,106.0,109.0,109.0,1,106.0,1-06,6.0,1-09,9.0,1-09,9.0,1-06,6.0,True,3.0
1.13-1.15,108966226,1~7,,19.0,19.0,2,7.0,7.0,19.0,112.0,204.0,204.0,1,112.0,1-12,12.0,2-04,19.0,2-04,19.0,1-12,12.0,True,
1.13-1.15,108966231,1~7,3.0,8.0,8.0,2,8.0,4.0,8.0,103.0,108.0,108.0,1,103.0,1-03,3.0,1-08,8.0,1-08,8.0,1-03,3.0,True,5.0
1.13-1.15,108966472,50~100,19.0,94.0,94.0,24,94.0,3.9166666666666665,,204.0,704.0,704.0,4,607.0,2-04,19.0,7-04,94.0,7-04,94.0,6-07,82.0,False,75.0
1.13-1.15,108966486,300~+∞,15.0,19.0,19.0,2,19.0,9.5,19.0,115.0,204.0,204.0,1,115.0,1-15,15.0,2-04,19.0,2-04,19.0,1-15,15.0,True,4.0
1.13-1.15,108966495,7~50,8.0,15.0,15.0,6,15.0,3.0,,108.0,115.0,115.0,2,112.0,1-08,8.0,1-15,15.0,1-15,15.0,1-12,12.0,False,7.0
1.13-1.15,108966510,7~50,19.0,74.0,74.0,22,70.0,3.5,,204.0,514.0,514.0,2,415.0,2-04,19.0,5-14,74.0,5-14,74.0,4-15,60.0,False,55.0
1.13-1.15,108966695,1~7,19.0,24.0,24.0,6,24.0,4.8,,204.0,209.0,209.0,3,204.0,2-04,19.0,2-09,24.0,2-09,24.0,2-04,19.0,False,5.0
1.13-1.15,108966712,1~7,13.0,69.0,69.0,20,69.0,3.45,,113.0,509.0,509.0,4,501.0,1-13,13.0,5-09,69.0,5-09,69.0,5-01,61.0,False,56.0
1.13-1.15,108966783,1~7,6.0,12.0,12.0,4,10.0,3.3333333333333335,,106.0,112.0,112.0,2,106.0,1-06,6.0,1-12,12.0,1-12,12.0,1-06,6.0,False,6.0
1.13-1.15,108966820,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
1.13-1.15,108966838,1~7,11.0,12.0,12.0,2,11.0,11.0,12.0,111.0,112.0,112.0,1,111.0,1-11,11.0,1-12,12.0,1-12,12.0,1-11,11.0,True,1.0
1.13-1.15,108966913,1~7,10.0,19.0,19.0,4,19.0,4.75,19.0,110.0,204.0,204.0,2,204.0,1-10,10.0,2-04,19.0,2-04,19.0,2-04,19.0,True,9.0
1.13-1.15,108966933,100~300,12.0,20.0,20.0,9,20.0,2.2222222222222223,,112.0,205.0,205.0,3,114.0,1-12,12.0,2-05,20.0,2-05,20.0,1-14,14.0,False,8.0
1.13-1.15,108966978,1~7,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
1.13-1.15,108967239,1~7,7.0,35.0,35.0,24,35.0,1.4583333333333333,,107.0,305.0,305.0,5,215.0,1-07,7.0,3-05,35.0,3-05,35.0,2-15,30.0,False,28.0
1.13-1.15,108967581,1~7,10.0,11.0,11.0,2,10.0,10.0,10.0,110.0,111.0,111.0,1,110.0,1-10,10.0,1-11,11.0,1-11,11.0,1-10,10.0,True,1.0
1.13-1.15,108967631,1~7,7.0,21.0,21.0,8,20.0,3.3333333333333335,,107.0,206.0,206.0,2,204.0,1-07,7.0,2-06,21.0,2-06,21.0,2-04,19.0,False,14.0
1.13-1.15,108967666,7~50,13.0,31.0,31.0,11,23.0,3.2857142857142856,21.0,113.0,301.0,301.0,2,113.0,1-13,13.0,3-01,31.0,3-01,31.0,1-13,13.0,True,18.0
1.13-1.15,108967982,100~300,2.0,3.0,3.0,2,3.0,1.5,3.0,102.0,103.0,103.0,1,102.0,1-02,2.0,1-03,3.0,1-03,3.0,1-02,2.0,True,1.0
